timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739580025600,74,Delete Book,200,,MainThreadGroup 1-58,text,true,,46201,261,39,39,http://192.168.1.107:8080/books,37,0,0
1739580025600,37,Delete Book-0,302,,MainThreadGroup 1-58,,true,,186,136,39,39,http://192.168.1.107:8080/books/delete/263,37,0,0
1739580025640,34,Delete Book-1,200,,MainThreadGroup 1-58,text,true,,46015,125,39,39,http://192.168.1.107:8080/books,31,0,0
1739580025619,63,Add Book POST,200,,MainThreadGroup 1-82,text,true,,46201,389,37,37,http://192.168.1.107:8080/books,44,0,0
1739580025619,44,Add Book POST-0,302,,MainThreadGroup 1-82,,true,,186,264,37,37,http://192.168.1.107:8080/books/add,44,0,0
1739580025663,19,Add Book POST-1,200,,MainThreadGroup 1-82,text,true,,46015,125,37,37,http://192.168.1.107:8080/books,16,0,0
1739580025667,20,Show List Form,200,,MainThreadGroup 1-92,text,true,,46015,185,37,37,http://192.168.1.107:8080/books,15,0,1
1739580025692,1,Debug Sampler,200,OK,MainThreadGroup 1-73,text,true,,515,0,38,38,null,0,0,0
1739580025657,58,Update Book,200,,MainThreadGroup 1-64,text,true,,46208,399,38,38,http://192.168.1.107:8080/books,39,0,0
1739580025657,39,Update Book-0,302,,MainThreadGroup 1-64,,true,,186,274,38,38,http://192.168.1.107:8080/books/update/269,39,0,0
1739580025696,19,Update Book-1,200,,MainThreadGroup 1-64,text,true,,46022,125,38,38,http://192.168.1.107:8080/books,17,0,0
1739580025731,2,JDBC Request,200,OK,MainThreadGroup 1-78,text,true,,7,0,38,38,null,1,0,0
1739580025721,24,Update Book,200,,MainThreadGroup 1-65,text,true,,46208,399,38,38,http://192.168.1.107:8080/books,7,0,0
1739580025721,7,Update Book-0,302,,MainThreadGroup 1-65,,true,,186,274,38,38,http://192.168.1.107:8080/books/update/269,7,0,0
1739580025728,17,Update Book-1,200,,MainThreadGroup 1-65,text,true,,46022,125,38,38,http://192.168.1.107:8080/books,13,0,0
1739580025756,1,Debug Sampler,200,OK,MainThreadGroup 1-74,text,true,,515,0,38,38,null,0,0,0
1739580025749,26,Show Edit Form,200,,MainThreadGroup 1-70,text,true,,900,134,39,39,http://192.168.1.107:8080/books/edit/274,26,0,0
1739580025768,10,Show Add Form,200,,MainThreadGroup 1-88,text,true,,842,129,39,39,http://192.168.1.107:8080/books/add,9,0,0
1739580025735,52,Add Book POST,200,,MainThreadGroup 1-83,text,true,,46201,389,39,39,http://192.168.1.107:8080/books,26,0,0
1739580025735,26,Add Book POST-0,302,,MainThreadGroup 1-83,,true,,186,264,39,39,http://192.168.1.107:8080/books/add,26,0,0
1739580025762,25,Add Book POST-1,200,,MainThreadGroup 1-83,text,true,,46015,125,39,39,http://192.168.1.107:8080/books,24,0,0
1739580025760,32,Show List Form,200,,MainThreadGroup 1-93,text,true,,46015,185,39,39,http://192.168.1.107:8080/books,24,0,4
1739580025741,55,Delete Book,200,,MainThreadGroup 1-60,text,true,,46201,261,39,39,http://192.168.1.107:8080/books,31,0,0
1739580025741,31,Delete Book-0,302,,MainThreadGroup 1-60,,true,,186,136,39,39,http://192.168.1.107:8080/books/delete/264,31,0,0
1739580025773,23,Delete Book-1,200,,MainThreadGroup 1-60,text,true,,46015,125,39,39,http://192.168.1.107:8080/books,17,0,0
1739580025807,0,Debug Sampler,200,OK,MainThreadGroup 1-75,text,true,,515,0,38,38,null,0,0,0
1739580025804,6,JDBC Request,200,OK,MainThreadGroup 1-79,text,true,,7,0,38,38,null,4,0,0
1739580025786,41,Update Book,200,,MainThreadGroup 1-66,text,true,,46208,399,38,38,http://192.168.1.107:8080/books,18,0,0
1739580025786,18,Update Book-0,302,,MainThreadGroup 1-66,,true,,186,274,38,38,http://192.168.1.107:8080/books/update/270,18,0,0
1739580025804,23,Update Book-1,200,,MainThreadGroup 1-66,text,true,,46022,125,38,38,http://192.168.1.107:8080/books,17,0,0
1739580025823,8,Show Add Form,200,,MainThreadGroup 1-89,text,true,,842,129,38,38,http://192.168.1.107:8080/books/add,6,0,0
1739580025800,46,Delete Book,200,,MainThreadGroup 1-61,text,true,,46201,261,38,38,http://192.168.1.107:8080/books,30,0,0
1739580025800,30,Delete Book-0,302,,MainThreadGroup 1-61,,true,,186,136,38,38,http://192.168.1.107:8080/books/delete/265,30,0,0
1739580025830,16,Delete Book-1,200,,MainThreadGroup 1-61,text,true,,46015,125,38,38,http://192.168.1.107:8080/books,13,0,0
1739580025799,48,Add Book POST,200,,MainThreadGroup 1-84,text,true,,46201,389,37,37,http://192.168.1.107:8080/books,28,0,0
1739580025799,28,Add Book POST-0,302,,MainThreadGroup 1-84,,true,,186,264,37,37,http://192.168.1.107:8080/books/add,28,0,0
1739580025827,20,Add Book POST-1,200,,MainThreadGroup 1-84,text,true,,46015,125,37,37,http://192.168.1.107:8080/books,16,0,0
1739580025840,21,Show List Form,200,,MainThreadGroup 1-94,text,true,,46015,185,38,38,http://192.168.1.107:8080/books,18,0,1
1739580025858,6,Show Edit Form,200,,MainThreadGroup 1-71,text,true,,900,134,38,38,http://192.168.1.107:8080/books/edit/275,6,0,0
1739580025873,1,JDBC Request,200,OK,MainThreadGroup 1-80,text,true,,7,0,38,38,null,1,0,0
1739580025911,0,Debug Sampler,200,OK,MainThreadGroup 1-76,text,true,,515,0,38,38,null,0,0,0
1739580025922,4,Show Add Form,200,,MainThreadGroup 1-90,text,true,,842,129,39,39,http://192.168.1.107:8080/books/add,4,0,0
1739580025899,30,Delete Book,200,,MainThreadGroup 1-62,text,true,,46194,261,39,39,http://192.168.1.107:8080/books,16,0,0
1739580025899,16,Delete Book-0,302,,MainThreadGroup 1-62,,true,,186,136,39,39,http://192.168.1.107:8080/books/delete/266,16,0,0
1739580025915,14,Delete Book-1,200,,MainThreadGroup 1-62,text,true,,46008,125,39,39,http://192.168.1.107:8080/books,10,0,0
1739580025897,40,Add Book POST,200,,MainThreadGroup 1-85,text,true,,46194,389,38,38,http://192.168.1.107:8080/books,22,0,0
1739580025897,22,Add Book POST-0,302,,MainThreadGroup 1-85,,true,,186,264,38,38,http://192.168.1.107:8080/books/add,22,0,0
1739580025920,17,Add Book POST-1,200,,MainThreadGroup 1-85,text,true,,46008,125,38,38,http://192.168.1.107:8080/books,14,0,0
1739580025924,35,Show List Form,200,,MainThreadGroup 1-95,text,true,,46008,185,38,38,http://192.168.1.107:8080/books,16,0,0
1739580025980,1,JDBC Request,200,OK,MainThreadGroup 1-81,text,true,,7,0,38,38,null,1,0,0
1739580025936,57,Update Book,200,,MainThreadGroup 1-67,text,true,,46201,399,38,38,http://192.168.1.107:8080/books,34,0,0
1739580025936,34,Update Book-0,302,,MainThreadGroup 1-67,,true,,186,274,38,38,http://192.168.1.107:8080/books/update/271,34,0,0
1739580025971,22,Update Book-1,200,,MainThreadGroup 1-67,text,true,,46015,125,38,38,http://192.168.1.107:8080/books,11,0,0
1739580025988,16,Show Edit Form,200,,MainThreadGroup 1-72,text,true,,900,134,38,38,http://192.168.1.107:8080/books/edit/276,16,0,0
1739580026007,8,Show Add Form,200,,MainThreadGroup 1-91,text,true,,842,129,38,38,http://192.168.1.107:8080/books/add,8,0,0
1739580025975,43,Add Book POST,200,,MainThreadGroup 1-86,text,true,,46194,389,38,38,http://192.168.1.107:8080/books,28,0,0
1739580025975,28,Add Book POST-0,302,,MainThreadGroup 1-86,,true,,186,264,38,38,http://192.168.1.107:8080/books/add,28,0,0
1739580026003,15,Add Book POST-1,200,,MainThreadGroup 1-86,text,true,,46008,125,38,38,http://192.168.1.107:8080/books,10,0,0
1739580025978,42,Delete Book,200,,MainThreadGroup 1-63,text,true,,46194,261,38,38,http://192.168.1.107:8080/books,28,0,0
1739580025978,28,Delete Book-0,302,,MainThreadGroup 1-63,,true,,186,136,38,38,http://192.168.1.107:8080/books/delete/267,28,0,0
1739580026006,14,Delete Book-1,200,,MainThreadGroup 1-63,text,true,,46008,125,38,38,http://192.168.1.107:8080/books,9,0,0
1739580026030,0,Debug Sampler,200,OK,MainThreadGroup 1-77,text,true,,515,0,37,37,null,0,0,0
1739580026008,28,Show List Form,200,,MainThreadGroup 1-96,text,true,,46008,185,37,37,http://192.168.1.107:8080/books,22,0,1
1739580026020,31,Update Book,200,,MainThreadGroup 1-68,text,true,,46201,399,37,37,http://192.168.1.107:8080/books,17,0,0
1739580026020,17,Update Book-0,302,,MainThreadGroup 1-68,,true,,186,274,37,37,http://192.168.1.107:8080/books/update/272,17,0,0
1739580026037,14,Update Book-1,200,,MainThreadGroup 1-68,text,true,,46015,125,37,37,http://192.168.1.107:8080/books,14,0,0
1739580026084,4,JDBC Request,200,OK,MainThreadGroup 1-82,text,true,,7,0,37,37,null,4,0,2
1739580026059,35,Add Book POST,200,,MainThreadGroup 1-87,text,true,,46460,389,37,37,http://192.168.1.107:8080/books,13,0,0
1739580026059,13,Add Book POST-0,302,,MainThreadGroup 1-87,,true,,186,264,37,37,http://192.168.1.107:8080/books/add,13,0,0
1739580026072,22,Add Book POST-1,200,,MainThreadGroup 1-87,text,true,,46274,125,37,37,http://192.168.1.107:8080/books,17,0,0
